Year,Month,VALUE,Datetime_EOM,C2VSim_Date,Sensor,VALUE_ELEV_x,VALUE_ELEV_y
1981.0,9.0,8410.0,1981-09-30,09/30/1981_24:00,15,,124.21491658488713
1981.0,10.0,8310.0,1981-10-31,10/31/1981_24:00,15,,124.01864573110893
1981.0,11.0,8030.0,1981-11-30,11/30/1981_24:00,15,,123.46908734052992
1981.0,12.0,7890.0,1981-12-31,12/31/1981_24:00,15,,123.19430814524043
1982.0,1.0,8120.0,1982-01-31,01/31/1982_24:00,15,,123.6457311089303
1982.0,2.0,8310.0,1982-02-28,02/28/1982_24:00,15,,124.01864573110893
1982.0,3.0,8360.0,1982-03-31,03/31/1982_24:00,15,,124.11678115799802
1982.0,4.0,8710.0,1982-04-30,04/30/1982_24:00,15,,124.80372914622177
1982.0,5.0,8710.0,1982-05-31,05/31/1982_24:00,15,,124.80372914622177
1982.0,6.0,8070.0,1982-06-30,06/30/1982_24:00,15,,123.54759568204122
1982.0,7.0,8200.0,1982-07-31,07/31/1982_24:00,15,,123.80274779195288
1982.0,8.0,7610.0,1982-08-31,08/31/1982_24:00,15,,122.58390804597701
1982.0,9.0,8120.0,1982-09-30,09/30/1982_24:00,15,,123.6457311089303
1982.0,10.0,8310.0,1982-10-31,10/31/1982_24:00,15,,124.01864573110893
1982.0,11.0,8120.0,1982-11-30,11/30/1982_24:00,15,,123.6457311089303
1982.0,12.0,7930.0,1982-12-31,12/31/1982_24:00,15,,123.27281648675171
1983.0,1.0,7980.0,1983-01-31,01/31/1983_24:00,15,,123.37095191364082
1983.0,2.0,8170.0,1983-02-28,02/28/1983_24:00,15,,123.74386653581942
1983.0,3.0,8120.0,1983-03-31,03/31/1983_24:00,15,,123.6457311089303
1983.0,4.0,7610.0,1983-04-30,04/30/1983_24:00,15,,122.58390804597701
1983.0,5.0,7840.0,1983-05-31,05/31/1983_24:00,15,,123.09617271835131
1983.0,6.0,7890.0,1983-06-30,06/30/1983_24:00,15,,123.19430814524043
1983.0,7.0,8610.0,1983-07-31,07/31/1983_24:00,15,,124.60745829244357
1983.0,8.0,8510.0,1983-08-31,08/31/1983_24:00,15,,124.41118743866535
1983.0,9.0,8360.0,1983-09-30,09/30/1983_24:00,15,,124.11678115799802
1983.0,10.0,8360.0,1983-10-31,10/31/1983_24:00,15,,124.11678115799802
1983.0,11.0,7890.0,1983-11-30,11/30/1983_24:00,15,,123.19430814524043
1983.0,12.0,8260.0,1983-12-31,12/31/1983_24:00,15,,123.92051030421982
1984.0,1.0,8660.0,1984-01-31,01/31/1984_24:00,15,,124.70559371933265
1984.0,2.0,8260.0,1984-02-29,02/29/1984_24:00,15,,123.92051030421982
1984.0,3.0,8610.0,1984-03-31,03/31/1984_24:00,15,,124.60745829244357
1984.0,4.0,8410.0,1984-04-30,04/30/1984_24:00,15,,124.21491658488713
1984.0,5.0,8210.0,1984-05-31,05/31/1984_24:00,15,,123.82237487733072
1984.0,6.0,8410.0,1984-06-30,06/30/1984_24:00,15,,124.21491658488713
1984.0,7.0,8210.0,1984-07-31,07/31/1984_24:00,15,,123.82237487733072
1984.0,8.0,8460.0,1984-08-31,08/31/1984_24:00,15,,124.31305201177625
1984.0,9.0,8260.0,1984-09-30,09/30/1984_24:00,15,,123.92051030421982
1984.0,10.0,7980.0,1984-10-31,10/31/1984_24:00,15,,123.37095191364082
1984.0,11.0,7930.0,1984-11-30,11/30/1984_24:00,15,,123.27281648675171
1984.0,12.0,8030.0,1984-12-31,12/31/1984_24:00,15,,123.46908734052992
1985.0,1.0,8210.0,1985-01-31,01/31/1985_24:00,15,,123.82237487733072
1985.0,2.0,7890.0,1985-02-28,02/28/1985_24:00,15,,123.19430814524043
1985.0,3.0,8070.0,1985-03-31,03/31/1985_24:00,15,,123.54759568204122
1985.0,4.0,8170.0,1985-04-30,04/30/1985_24:00,15,,123.74386653581942
1985.0,5.0,8170.0,1985-05-31,05/31/1985_24:00,15,,123.74386653581942
1985.0,6.0,8410.0,1985-06-30,06/30/1985_24:00,15,,124.21491658488713
