ITHTS,HQTS(1),HQTS(2),HQTS(3),HQTS(4),HQTS(5),HQTS(6),HQTS(7),HQTS(8),HQTS(9),HQTS(10),HQTS(11),HQTS(12)
08/31/1978_24:00,443.77,226.67,130.59,9999.0,9999.0,9999.0,124.41118743866535,205.05142857142857,236.95666666666668,9999,9999,9999
09/30/1978_24:00,441.4,222.74,130.59,9999.0,9999.0,9999.0,124.11678115799802,200.52307692307693,229.9344827586207,9999,9999,9999
10/31/1978_24:00,434.13,217.88,131.94,9999.0,9999.0,9999.0,124.90186457311088,205.22857142857143,220.9853228962818,9999,9999,9999
11/30/1978_24:00,430.15,215.95,131.94,9999.0,9999.0,9999.0,124.41118743866535,205.9714285714286,227.45757575757574,9999,9999,9999
12/31/1978_24:00,428.82,215.73,131.94,9999.0,9999.0,9999.0,124.01864573110893,207.2,233.56323185011712,9999,9999,9999
01/31/1979_24:00,431.12,218.35,131.94,9999.0,9999.0,9999.0,123.92051030421982,205.94285714285715,234.18618266978925,9999,9999,9999
02/28/1979_24:00,437.66,220.28,131.94,9999.0,9999.0,9999.0,124.01864573110893,205.58857142857144,234.78571428571428,9999,9999,9999
03/31/1979_24:00,452.51,222.24,131.94,9999.0,9999.0,9999.0,124.01864573110893,206.75,232.07517241379313,9999,9999,9999
04/30/1979_24:00,463.08,227.9,131.94,9999.0,9999.0,9999.0,123.74386653581942,206.88,232.39517241379312,9999,9999,9999
05/31/1979_24:00,463.05,234.43,131.94,9999.0,9999.0,9999.0,124.11678115799802,204.68,231.9703448275862,9999,9999,9999
06/30/1979_24:00,455.36,233.97,131.94,9999.0,9999.0,9999.0,125.00000000000001,205.26857142857145,232.78571428571428,9999,9999,9999
07/31/1979_24:00,445.7,231.06,131.94,9999.0,9999.0,9999.0,124.60745829244357,208.5695652173913,232.884074941452,9999,9999,9999
08/31/1979_24:00,438.38,226.63,131.94,9999.0,9999.0,9999.0,123.54759568204122,206.51999999999998,231.65586206896552,9999,9999,9999
09/30/1979_24:00,434.23,223.39,131.94,9999.0,9999.0,9999.0,124.41118743866535,204.09714285714287,224.59696969696967,9999,9999,9999
10/31/1979_24:00,425.79,219.57,130.59,9999.0,9999.0,9999.0,124.90186457311088,204.68,219.897049390635,9999,9999,9999
11/30/1979_24:00,426.79,216.18,130.59,9999.0,9999.0,9999.0,123.54759568204122,207.8,220.88356164383563,9999,9999,9999
12/31/1979_24:00,432.27,216.29,130.59,9999.0,9999.0,9999.0,125.00000000000001,207.77500000000003,221.63502935420743,9999,9999,9999
01/31/1980_24:00,449.75,215.4,130.59,9999.0,9999.0,9999.0,124.50932286555445,208.04347826086956,222.38649706457926,9999,9999,9999
02/29/1980_24:00,454.2,215.63,130.59,9999.0,9999.0,9999.0,124.11678115799802,207.40000000000003,221.6976516634051,9999,9999,9999
03/31/1980_24:00,452.47,212.19,130.59,9999.0,9999.0,9999.0,124.60745829244357,206.13000000000002,229.9344827586207,9999,9999,9999
04/30/1980_24:00,459.36,215.15,130.59,9999.0,9999.0,9999.0,125.00000000000001,205.4057142857143,233.87704918032787,9999,9999,9999
05/31/1980_24:00,458.9,217.82,130.59,9999.0,9999.0,9999.0,124.21491658488713,205.51428571428573,234.39695550351288,9999,9999,9999
06/30/1980_24:00,455.1,222.71,130.59,9999.0,9999.0,9999.0,124.80372914622177,205.64000000000001,234.18618266978925,9999,9999,9999
07/31/1980_24:00,446.82,224.51,130.59,9999.0,9999.0,9999.0,124.70559371933265,203.19354838709677,238.43333333333334,9999,9999,9999
08/31/1980_24:00,438.44,222.72,130.59,9999.0,9999.0,9999.0,125.00000000000001,203.93548387096774,239.18,9999,9999,9999
09/30/1980_24:00,432.34,220.46,130.59,9999.0,9999.0,9999.0,124.11678115799802,207.10500000000002,238.86,9999,9999,9999
10/31/1980_24:00,421.77,216.51,130.12,9999.0,9999.0,9999.0,124.60745829244357,203.09677419354836,223.69373776908026,9999,9999,9999
11/30/1980_24:00,422.4,214.37,130.12,9999.0,9999.0,9999.0,124.31305201177625,201.6923076923077,227.66363636363636,9999,9999,9999
12/31/1980_24:00,425.87,213.08,130.12,9999.0,9999.0,9999.0,124.41118743866535,207.65000000000003,233.26814988290397,9999,9999,9999
01/31/1981_24:00,431.47,215.59,125.36,9999.0,9999.0,9999.0,123.27281648675171,208.1782608695652,230.93862068965518,9999,9999,9999
02/28/1981_24:00,452.38,216.95,124.73,9999.0,9999.0,9999.0,124.70559371933265,206.95000000000002,230.7344827586207,9999,9999,9999
03/31/1981_24:00,456.78,220.43,124.79,9999.0,9999.0,9999.0,124.21491658488713,207.84,238.03333333333336,9999,9999,9999
04/30/1981_24:00,462.88,220.82,125.33,9999.0,9999.0,9999.0,123.6457311089303,208.9217391304348,237.43333333333334,9999,9999,9999
05/31/1981_24:00,460.18,219.03,126.66,9999.0,9999.0,9999.0,122.79080459770114,203.9483870967742,238.13333333333333,9999,9999,9999
06/30/1981_24:00,455.62,216.15,126.46,9999.0,9999.0,9999.0,123.27281648675171,204.76,239.59495548961422,9999,9999,9999
07/31/1981_24:00,451.15,214.99,127.04,9999.0,9999.0,9999.0,124.11678115799802,205.38285714285715,238.33333333333334,9999,9999,9999
08/31/1981_24:00,450.2,213.17,126.42,9999.0,9999.0,9999.0,124.11678115799802,203.6709677419355,237.63333333333335,9999,9999,9999
