STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
NAT,M,15,STORAGE,19781001 0000,19781031 0000,8760.0,,AF,1978-10-01
NAT,M,15,STORAGE,19781101 0000,19781130 0000,8510.0,,AF,1978-11-01
NAT,M,15,STORAGE,19781201 0000,19781231 0000,8310.0,,AF,1978-12-01
NAT,M,15,STORAGE,19790101 0000,19790131 0000,8260.0,,AF,1979-01-01
NAT,M,15,STORAGE,19790201 0000,19790301 0000,8310.0,,AF,1979-02-01
NAT,M,15,STORAGE,19790301 0000,19790331 0000,8310.0,,AF,1979-03-01
NAT,M,15,STORAGE,19790401 0000,19790430 0000,8170.0,,AF,1979-04-01
NAT,M,15,STORAGE,19790501 0000,19790531 0000,8360.0,,AF,1979-05-01
NAT,M,15,STORAGE,19790601 0000,19790630 0000,8870.0,,AF,1979-06-01
NAT,M,15,STORAGE,19790701 0000,19790731 0000,8610.0,,AF,1979-07-01
NAT,M,15,STORAGE,19790801 0000,19790831 0000,8070.0,,AF,1979-08-01
NAT,M,15,STORAGE,19790901 0000,19790930 0000,8510.0,,AF,1979-09-01
NAT,M,15,STORAGE,19791001 0000,19791031 0000,8760.0,,AF,1979-10-01
NAT,M,15,STORAGE,19791101 0000,19791130 0000,8070.0,,AF,1979-11-01
NAT,M,15,STORAGE,19791201 0000,19791231 0000,8870.0,,AF,1979-12-01
NAT,M,15,STORAGE,19800101 0000,19800131 0000,8560.0,,AF,1980-01-01
NAT,M,15,STORAGE,19800201 0000,19800229 0000,8360.0,,AF,1980-02-01
NAT,M,15,STORAGE,19800301 0000,19800331 0000,8610.0,,AF,1980-03-01
NAT,M,15,STORAGE,19800401 0000,19800430 0000,8870.0,,AF,1980-04-01
NAT,M,15,STORAGE,19800501 0000,19800531 0000,8410.0,,AF,1980-05-01
NAT,M,15,STORAGE,19800601 0000,19800630 0000,8710.0,,AF,1980-06-01
NAT,M,15,STORAGE,19800701 0000,19800731 0000,8660.0,,AF,1980-07-01
NAT,M,15,STORAGE,19800801 0000,19800831 0000,8820.0,,AF,1980-08-01
NAT,M,15,STORAGE,19800901 0000,19800930 0000,8360.0,,AF,1980-09-01
NAT,M,15,STORAGE,19801001 0000,19801031 0000,8610.0,,AF,1980-10-01
NAT,M,15,STORAGE,19801101 0000,19801130 0000,8460.0,,AF,1980-11-01
NAT,M,15,STORAGE,19801201 0000,19801231 0000,8510.0,,AF,1980-12-01
NAT,M,15,STORAGE,19810101 0000,19810131 0000,7930.0,,AF,1981-01-01
NAT,M,15,STORAGE,19810201 0000,19810301 0000,8660.0,,AF,1981-02-01
